,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Non controlling int,Preference Capital,Other Liabilities+
Mar 2014,263,-31.77%,237,78%,5%,5%,2%,26,10%,2,20,5,3,32%,2,1.78,0%,13,11.43,94,72,105,90,1,14,283,104,137,33,1,0,178,45,84,18,28,2,283,532941,,1.60,
Mar 2015,265,0.78%,238,77%,5%,6%,3%,27,10%,2,20,5,4,29%,3,2.36,0%,13,11.43,96,68,108,92,1,15,284,99,138,39,1,0,183,48,87,17,30,3,284,532941,,1.60,
Mar 2016,283,6.90%,254,77%,5%,5%,2%,29,10%,2,21,5,5,36%,3,2.41,0%,15,12.93,104,62,105,86,1,17,283,94,138,44,1,0,187,48,95,19,24,2,283,532941,,1.60,
Mar 2017,323,14.15%,290,79%,2%,4%,5%,33,10%,2,22,5,8,34%,5,4.00,0%,13,12.93,108,69,89,70,0,19,279,90,139,49,0,0,189,47,93,25,20,2,279,532941,,0.00,
Mar 2018,365,12.98%,330,80%,2%,4%,4%,36,10%,1,23,5,9,32%,6,4.84,0%,15,12.93,114,79,80,66,0,14,286,92,146,53,0,0,193,54,102,26,11,1,286,532941,,1.60,
Mar 2019,417,14.06%,378,80%,2%,4%,4%,39,9%,2,24,6,11,35%,7,5.69,0%,15,12.93,122,87,87,72,0,16,309,96,155,59,0,1,212,60,113,20,18,1,309,532941,,1.60,
Mar 2020,421,0.99%,379,78%,3%,6%,4%,42,10%,1,26,7,11,2%,11,8.25,0%,15,12.93,128,83,91,80,0,12,315,96,163,67,0,0,219,60,121,24,13,1,315,532941,,1.60,
TTM,343,,308,,,,,34,10%,2,23,7,6,,8,6.15,,,,,,,,,,,,,,,,,,,,,,,532941,,,
Sep 2020,,,,,,,,,,,,,,,,,,13,12.93,129,74,68,51,,17,285,94,,,0,0,191,48,111,20,2,10,285,532941,,,
Mar 2009,99,5.58%,84,29.38%,20.49%,13.94%,20.81%,15,15%,2,3,-1,15,13%,13,13.53,22%,10,9.82,36,40,26,8.25,,17.55,112,75,129,54,0,0,37,8.33,23.90,0.33,4.34,-0.00,112,520075,,,
Mar 2010,133,33.76%,112,26.71%,21.49%,13.78%,22.83%,20,15%,1,2,9,10,30%,7,7.24,55%,10,9.82,36,45,34,12.27,,21.70,124,77,132,54,0,0,47,10.13,30.34,4.20,2.40,-0.00,124,520075,,,
