,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2015,71.66,6.40%,61.54,53%,14%,14%,5%,10.12,14.12%,0.37,2.97,2.33,5.19,34.49%,3.40,3.30,0.00%,8.20,8.20,11.71,26.25,17.38,5.58,5.98,5.81,63.54,23.29,34,10,0.00,1.92,38.33,14.85,18.04,2.24,2.80,0.40,63.54,538715,,0.01,
Mar 2016,69.05,-3.64%,58.46,52%,12%,16%,4%,10.59,15.34%,0.40,3.11,2.38,5.50,34.36%,3.61,3.52,0.00%,10.25,10.25,13.27,33.65,13.99,2.97,4.73,6.28,71.16,31.43,50,19,0.01,1.50,38.22,13.76,19.59,1.80,2.77,0.30,71.16,538715,,0.01,
Mar 2017,94.10,36.28%,79.55,54%,11%,15%,5%,14.55,15.46%,0.33,4.17,3.20,7.51,34.09%,4.95,4.68,0.00%,10.58,10.58,19.80,41.22,20.14,8.43,2.45,9.24,91.74,38.77,42,3,0.07,0.00,52.90,22.24,23.43,2.47,3.44,1.32,91.74,538715,,0.02,
Mar 2018,131.00,39.21%,112.79,55%,10%,16%,5%,18.21,13.90%,0.28,4.83,3.80,9.86,30.43%,6.85,6.33,0.00%,10.82,10.82,29.69,44.50,21.89,9.69,1.32,10.85,106.90,42.43,50,7,0.00,0.00,64.47,31.14,25.12,1.94,4.91,1.36,106.90,538715,,0.03,
Mar 2019,120.58,-7.95%,104.66,56%,9%,18%,4%,15.92,13.20%,0.43,4.96,3.54,7.85,29.04%,5.56,5.14,0.00%,10.82,10.82,35.35,47.14,21.31,10.87,2.61,7.80,114.62,43.69,54,11,0.13,0.00,70.80,33.14,26.47,3.09,7.99,0.11,114.62,538715,,0.03,
Mar 2020,111.72,-7.35%,97.08,55%,10%,18%,4%,14.64,13.10%,0.08,4.98,3.52,6.22,29.10%,4.41,4.07,0.00%,10.82,10.82,39.59,43.91,20.22,8.77,2.15,9.26,114.54,41.69,56,14,2.92,0.00,69.93,30.37,28.28,2.76,8.52,0.00,114.54,538715,,0.04,
TTM,95.48,,83.43,,,,,12.05,12.62%,0.20,4.89,3.35,4.01,,2.31,2.14,,,,,,,,,,,,,,,,,,,,,,,538715,,,
Mar 2009,298,76.13%,241,57%,25%,6%,-8%,57,19%,5,28,10,24,15%,20,8.85,11%,23,23,274,361,97,40,33,24,754,82,113,31,434,0,238,23,81,74,61,0,754,532553,,0,
Mar 2010,362,21.20%,286,54%,20%,6%,-2%,76,21%,6,32,11,38,39%,23,10.23,10%,23,23,300,416,86,44,10,31,824,86,127,41,533,0,205,33,86,54,32,0,824,532553,,0,
Mar 2011,239,-33.99%,206,45%,30%,9%,2%,33,14%,21,59,26,-31,-1%,-32,-7.89,0%,40,40,471,432,110,54,38,18,1053,78,127,49,586,145,244,56,95,49,26,17,1053,532553,,0,
Mar 2012,341,42.95%,286,46%,3%,8%,26%,55,16%,23,52,23,4,10%,3,0.83,0%,40,40,475,393,71,40,12,18,979,646,796,149,8,5,319,21,122,63,85,28,979,532553,,0,
Mar 2013,421,23.49%,317,40%,15%,8%,12%,104,25%,14,47,68,3,-105%,6,1.47,0%,40,40,481,378,115,82,7,26,1014,579,795,216,17,174,244,15,89,28,90,23,1014,532553,,0,
Mar 2014,243,-42.22%,241,36%,32%,12%,18%,2,1%,5,40,35,-68,10%,-61,-15.25,0%,40,40,419,325,78,55,6,17,861,535,770,235,26,91,210,6,47,17,119,21,861,532553,,0,
Mar 2015,826,239.14%,879,71%,13%,6%,17%,-53,-6%,291,138,88,11,94%,1,0.17,0%,173,173,1342,447,155,19,2,125,2118,501,733,232,215,954,447,4,33,70,193,147,2118,532553,,9,
Mar 2016,189,-77.06%,258,58%,25%,15%,38%,-69,-36%,105,13,27,-4,116%,1,0.04,0%,174,174,1247,94,101,21,0,79,1616,169,241,72,64,1110,273,3,37,38,137,58,1616,532553,,0,
Mar 2017,305,61.28%,367,23%,60%,10%,28%,-62,-20%,108,10,21,15,67%,5,0.34,223%,147,147,1111,150,212,65,0,147,1621,110,249,139,64,801,645,3,19,307,111,206,1621,532553,,0,
Mar 2018,1067,249.37%,1005,1%,80%,5%,8%,63,6%,110,33,24,116,40%,69,4.71,32%,148,148,1191,460,401,215,0,186,2199,27,203,176,64,1118,990,1,34,78,402,476,2199,532553,,0,
Mar 2019,1787,67.42%,1608,1%,81%,5%,4%,179,10%,93,54,11,207,39%,127,8.56,23%,148,148,1306,592,844,574,0,269,2890,80,156,75,120,933,1756,1,281,150,752,573,2890,532553,,0,
Mar 2020,1808,1.17%,1617,0%,80%,5%,4%,191,11%,112,77,23,203,25%,149,10.03,20%,148,148,1431,812,725,282,2,441,3116,107,193,86,64,948,1998,1,187,149,717,945,3116,532553,,0,
TTM,1513,,1353,,,,,160,11%,154,93,17,203,,167,11.24,,,,,,,,,,,,,,,,,,,,,,,532553,,,
Sep 2020,,,,,,,,,,,,,,,,,,149,149,1455,1568,800,348,,452,3971,950,,,64,818,2140,1,93,70,1270,706,3971,532553,,0,
Mar 2009,55,-15.37%,51,65%,2%,11%,14%,4,7%,3,1,1,6,52%,3,0.08,12%,6,6,35,11,12,2.60,0.24,8.73,63,32,46,14,0,0,31,3,13,3,13,0,63,524470,,,
Mar 2010,81,46.89%,76,68%,2%,9%,16%,4,5%,5,1,2,7,36%,4,0.10,14%,12,12,43,10,28,16.09,0.40,11.28,92,32,48,16,0,0,61,8,23,9,20,0,92,524470,,,
Mar 2011,76,-5.35%,73,61%,2%,14%,19%,3,4%,0,1,2,0,53%,0,0.00,531%,22,22,59,7,24,13.75,1.53,9.07,113,47,66,18,1,7,58,11,23,4,15,4,113,524470,,,
Mar 2012,118,54.77%,110,70%,2%,9%,12%,8,6%,1,0,3,5,36%,4,0.04,38%,22,22,61,6,23,11.13,0.18,11.39,113,51,72,21,0,8,54,4,24,5,17,4,113,524470,,,
Mar 2013,115,-2.68%,104,67%,2%,9%,12%,11,9%,1,1,3,8,33%,6,0.07,24%,22,22,65,2,33,19.42,0.91,12.79,123,50,74,24,0,7,66,6,29,4,22,5,123,524470,,,
Mar 2014,151,31.61%,135,67%,2%,8%,12%,16,11%,1,0,3,14,33%,9,0.12,17%,78,78,17,3,42,29.35,0.21,11.97,140,50,77,27,0,9,80,10,29,5,30,6,140,524470,,,
Mar 2015,173,14.61%,155,67%,2%,8%,12%,18,11%,1,0,3,16,38%,10,0.13,16%,78,78,22,6,31,19.92,0.67,10.71,138,46,80,35,0,6,85,11,31,7,30,7,138,524470,,,
Mar 2016,184,6.06%,167,72%,2%,7%,10%,17,9%,3,0,3,16,36%,10,0.13,15%,78,78,31,6,61,46.93,1.29,12.86,175,46,82,37,5,23,101,15,46,6,19,15,175,524470,,,
Mar 2017,185,0.50%,168,69%,2%,8%,12%,16,9%,3,0,3,16,33%,11,0.14,15%,78,78,36,12,48,32.26,2.37,13.86,175,85,122,37,0,1,89,10,46,7,20,6,175,524470,,,
Mar 2018,159,-14.17%,147,69%,3%,9%,12%,12,7%,4,0,4,12,28%,9,0.11,0%,78,78,44,12,37,22.30,2.37,11.90,171,89,129,40,1,2,79,11,38,6,24,1,171,524470,,,
Mar 2019,187,17.74%,175,73%,3%,8%,10%,12,6%,5,0,4,13,12%,11,0.14,0%,78,78,55,9,32,21.16,0.68,9.82,173,89,132,43,0,2,83,14,41,8,16,4,173,524470,,,
Mar 2020,206,10.03%,189,74%,3%,8%,7%,17,8%,5,1,4,17,18%,14,0.18,0%,78,78,68,2,33,20.30,0.16,12.27,181,93,140,47,0,1,87,16,43,9,19,-0,181,524470,,,
TTM,190,,166,,,,,24,13%,5,0,4,25,,19,0.24,,,,,,,,,,,,,,,,,,,,,,,524470,,,
Sep 2020,,,,,,,,,,,,,,,,,,78,78,80,7,57,26.14,,30.91,222,92,,,0,8,122,15,71,9,9,18,222,524470,,,
