,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2017,250,5%,237,87%,0%,2%,5%,13,5%,1,1,0,13,7%,11,1.04,0%,108,108,66,3,155,147.96,0.04,5.15,332,6,6.58,0.19,3,0,323,2,216,70,2,33,332,532413,,1.65,
Mar 2018,314,25%,272,78%,0%,3%,6%,42,13%,2,2,0,42,17%,32,2.69,0%,120,120,131,3,109,90.41,0.06,14.98,363,9,9.49,0.49,0,14,340,15,201,75,5,44,363,532413,,3.83,
Mar 2019,385,23%,344,81%,0%,3%,6%,42,11%,-18,4,0,20,71%,4,0.36,0%,121,121,147,4,193,163.86,0.13,23.53,466,9,9.50,0.84,0,0,456,4,339,77,10,27,466,532413,,5.74,
Mar 2020,182,-53%,149,71%,0%,7%,3%,33,18%,-15,3,0,14,15%,11,0.94,0%,121,121,173,13,141,106.79,2.13,25.73,448,9,10.30,1.16,68,0,371,12,249,18,19,73,448,532413,,6.50,
TTM,119,,106,,,,,13,11%,-17,2,0,-7,,-5,-0.42,,,,,,,,,,,,,,,,,,,,,,,532413,,,
Sep 2020,,,,,,,,,,,,,,,,,,121,121,164,23,57,22.43,,25.33,365,77,,,0,0,288,24,208,10,9,38,365,532413,,9.34,
Mar 2014,3684,,3120,18.72%,31.41%,6.24%,28.32%,564,15%,63,189,306,131,13%,115,4.81,21%,24,23.80,2435,2910,1476,176,30,1270,6846,4650,6688,2038,354,283,1559,686,304,45,194,331,6846,500260,,0,
Mar 2015,3655,-0.76%,2935,18.62%,27.58%,6.79%,27.30%,721,20%,85,196,251,358,32%,246,10.34,15%,24,23.81,2602,2734,1646,230,16,1400,7006,4882,7209,2325,263,358,1503,522,380,63,165,373,7006,500260,,1,
Mar 2016,3582,-2.01%,2504,16.44%,21.85%,8.26%,23.38%,1077,30%,75,184,305,663,20%,545,22.90,13%,24,23.81,3109,2141,1670,215,17,1438,6944,5026,7664,2636,147,327,1444,550,472,91,381,-50,6944,500260,,1,
Mar 2017,3967,10.76%,2759,16.90%,20.41%,8.15%,24.09%,1208,30%,40,105,286,857,24%,663,27.84,11%,24,23.81,3772,1437,1838,256,30,1550,7071,5211,8088,2876,120,210,1529,577,555,120,338,-60,7071,500260,,2,
Mar 2018,4425,11.54%,3310,16.96%,44.73%,7.87%,5.25%,1115,25%,32,61,294,792,29%,564,23.95,13%,24,23.56,4089,1121,1936,268,61,1603,7169,5323,8458,3134,175,240,1432,561,443,120,299,9,7169,500260,,4,
Mar 2019,5162,16.66%,4117,16.41%,50.71%,7.36%,5.26%,1046,20%,25,53,300,718,29%,511,21.68,14%,24,23.56,4513,1637,2029,258,57,1710,8203,5400,8768,3368,853,259,1692,561,490,95,293,253,8203,500260,,5,
Mar 2020,5389,4.40%,4241,16.21%,47.91%,8.03%,6.53%,1149,21%,34,73,317,792,24%,604,25.65,10%,24,23.56,4978,3024,2107,343,64,1694,10132,6049,9644,3595,1840,276,1967,647,528,94,393,305,10132,500260,,6,
TTM,4990,,3795,,,,,1194,24%,35,100,334,795,,598,25.40,,,,,,,,,,,,,,,,,,,,,,,500260,,,
Sep 2020,,,,,,,,,,,,,,,,,,24,23.56,5352,2353,2839,396,,2437,10568,6243,,,2133,291,1900,652,470,53,87,639,10568,500260,,7,
Mar 2019,390,,382,95%,1%,1%,1%,8,2%,0,3,1,3,28%,2,10.02,2%,2,2.33,32,29,8,2.14,2.40,0.93,71,26,26.98,0.93,4,2,38,14.77,7.46,0.79,13.68,1.31,71,NSE - SM : MGEL,,2.14,
Mar 2020,583,49.47%,572,94%,2%,1%,2%,11,2%,2,7,2,4,22%,4,2.19,46%,16,16.06,43,54,16,7.63,2.77,3.69,129,35,38.41,2.97,0,4,89,22.49,21.06,4.92,40.75,0.23,129,NSE - SM : MGEL,,1.41,
Mar 2009,140,-60.90%,16,0.11%,0.27%,3.30%,8.05%,123,88%,185,0,0,307,1%,303,29.94,33%,101,101,4434,-0,2281,2,,2279,6817,64,141,94,-0,4440,2313,0,0,8,2313,-8,6817,500490,,0,
Mar 2010,710,408.15%,10,0.05%,0.05%,0.65%,0.71%,700,99%,700,-0,0,1399,3%,1363,128.50,23%,106,106,5390,-0,463,5,,458,5960,245,322,94,-0,5473,242,0,0,8,241,-8,5960,500490,,0,
Mar 2011,898,26.41%,12,0.07%,0.08%,0.62%,0.53%,886,99%,2,-0,0,888,8%,2323,208.71,17%,111,111,7340,-0,489,1,,488,7940,373,451,95,-0,6875,692,0,0,223,37,432,7940,500490,,0,
Mar 2012,295,-67.12%,12,0.22%,0.12%,6.89%,-3.30%,284,96%,-8,0,0,275,28%,1679,150.88,17%,111,111,8569,-0,455,1,,454,9135,384,462,95,160,7706,885,0,0,425,38,422,9135,500490,,0,
Mar 2013,337,14.14%,15,0.20%,0.31%,1.35%,2.68%,322,95%,3,0,2,322,21%,1856,166.80,15%,111,111,10234,-0,430,1,,430,10775,532,609,95,-0,9577,666,0,1,147,7,511,10775,500490,,0,
Mar 2014,423,25.55%,23,0.11%,0.27%,1.65%,3.52%,400,94%,5,-0,5,400,20%,1988,178.59,17%,111,111,11888,-0,449,1,,448,12448,532,627,95,-0,11325,592,0,0,269,39,284,12448,500490,,0,
Mar 2015,524,23.80%,40,0.16%,0.34%,1.66%,5.41%,484,92%,35,-0,6,513,19%,2029,182.33,19%,111,111,13282,-0,500,1,,499,13893,544,622,96,-0,13078,271,0,1,48,64,158,13893,500490,,0,
Mar 2016,470,-10.27%,42,0.24%,0.38%,3.74%,4.49%,429,91%,7,-0,5,430,21%,2265,203.54,16%,111,111,15182,-0,178,1,,178,15472,544,623,96,-0,13276,1651,0,1,1423,89,139,15472,500490,,0,
Mar 2017,842,79.18%,215,0.11%,0.22%,2.71%,22.44%,628,75%,8,-0,5,630,21%,2473,222.22,15%,111,111,17707,-0,71,1,,70,17889,222,301,96,-0,17364,302,0,1,13,107,182,17889,500490,,0,
Mar 2018,420,-50.18%,65,0.00%,0.35%,6.07%,8.97%,355,85%,2390,-0,5,2739,3%,2655,238.54,17%,111,111,25090,-0,68,0,,67,25269,215,315,118,-0,24575,478,0,0,81,445,-48,25269,500490,,0,
Mar 2019,431,2.77%,85,0.00%,0.39%,7.49%,11.73%,347,80%,2827,-0,4,3170,4%,3048,273.90,12%,111,111,26841,-0,56,1,,55,27008,193,228,34,-0,26257,558,0,0,10,618,-70,27008,500490,,0,
Mar 2020,435,0.96%,134,1.76%,2.28%,11.25%,15.48%,301,69%,3058,13,33,3314,7%,2992,268.84,15%,111,111,27652,-0,4965,5,,424,32729,374,459,84,-0,32068,287,3,5,112,228,-62,32729,500490,,4536,
TTM,403,,117,,,,,287,71%,2903,9,34,3146,,2845,255.65,,,,,,,,,,,,,,,,,,,,,,,500490,,,
Sep 2020,,,,,,,,,,,,,,,,,,111,111,31547,151,6010,0,,599,37819,358,,,-0,37206,256,5,1,92,0,158,37819,500490,,5411,
Mar 2010,296,,278,85%,6%,1%,3%,18,6%,2,9,2,9,33%,5,5.97,17%,8,7.74,22,86,42,16.22,5.23,8.11,158,36,48,12,0,0,121,76,25,8,12,0,158,530433,,12.17,
Mar 2011,360,21.95%,337,85%,3%,1%,5%,23,6%,0,13,2,9,23%,5,5.65,18%,10,9.54,34,115,39,10.46,2.39,15.21,198,46,60,14,0,1,150,89,46,4,6,6,198,530433,,11.11,
Mar 2012,393,8.89%,366,83%,4%,2%,4%,27,7%,1,16,2,9,32%,5,5.25,19%,10,9.54,37,122,62,32.88,3.64,9.31,231,39,55,16,9,1,182,89,73,2,9,9,231,530433,,16.58,
Mar 2013,510,30.03%,484,85%,5%,2%,4%,26,5%,2,17,3,9,34%,4,4.43,11%,10,9.54,41,152,86,51.70,5.49,9.88,289,39,58,19,11,2,236,90,111,14,12,10,289,530433,,19.20,
Mar 2014,520,1.81%,490,86%,3%,2%,4%,29,6%,1,18,3,10,34%,4,4.63,0%,10,9.54,46,158,92,51.04,8.62,9.04,305,43,64,21,9,2,252,94,130,11,7,9,305,530433,,23.18,
Mar 2015,508,-2.25%,480,85%,3%,1%,5%,28,6%,1,16,3,10,32%,5,4.95,0%,10,9.54,50,128,91,47.23,8.97,9.78,279,47,72,25,6,2,225,90,115,3,4,13,279,530433,,25.46,
Mar 2016,454,-10.59%,430,86%,3%,2%,5%,25,5%,1,14,3,8,38%,3,3.62,0%,10,9.54,54,108,111,62.76,10.50,10.79,282,46,73,28,5,1,230,113,96,5,5,11,282,530433,,27.17,
Mar 2017,442,-2.78%,418,85%,4%,2%,4%,24,5%,1,11,3,10,31%,5,5.07,0%,10,9.99,59,102,107,51.63,15.02,10.50,277,44,47,3,5,1,227,94,120,4,4,4,277,530433,,29.42,
Mar 2018,444,0.53%,421,85%,4%,2%,4%,23,5%,2,12,3,11,29%,5,5.11,0%,10,9.99,65,95,82,21.71,19.04,9.40,252,42,48,6,5,1,204,115,76,5,4,5,252,530433,,31.77,
Mar 2019,500,12.55%,475,87%,4%,1%,4%,24,5%,-3,8,2,11,38%,4,3.76,0%,10,9.99,67,71,72,21.76,12.58,8.79,220,36,43,7,0,0,183,85,77,4,6,12,220,530433,,28.96,
Mar 2020,490,-2.00%,469,88%,4%,1%,3%,21,4%,1,8,2,12,20%,6,6.36,0%,10,9.99,73,87,78,22.08,16.41,7.29,247,41,50,9,2,0,204,98,90,3,6,7,247,530433,,31.90,
TTM,516,,496,,,,,20,4%,0,7,2,12,,7,6.70,,,,,,,,,,,,,,,,,,,,,,,530433,,,
Sep 2020,,,,,,,,,,,,,,,,,,10,9.99,77,46,77,27.46,,16.21,210,40,,,2,11,156,46,90,12,1,7,210,530433,,32.88,
Mar 2014,0,,0,,,,,0,,0,0,0,0,,0,0.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539254,,0,
Mar 2015,131,,29,,1.37%,12.42%,8.63%,101,78%,3,73,37,-5,-34%,-7,-0.06,0%,1090,1090,-7,9701,708,49,0,659,11492,10573,10985,412,10,0,909,21,449,15,399,26,11492,539254,,0,
Mar 2016,2194,1581%,267,,8.57%,1.40%,2.21%,1927,88%,70,957,560,480,23%,368,3.35,0%,1100,1100,1572,8585,489,8,1,480,11746,10060,10620,560,258,20,1407,22,182,151,927,125,11746,539254,,0,
Mar 2017,2876,31%,893,,27.50%,1.60%,1.94%,1983,69%,22,904,569,532,22%,416,3.79,0%,1100,1100,1847,8975,890,27,2,861,12811,9853,10982,1129,1343,105,1510,39,190,393,795,93,12811,539254,,0,
Mar 2018,3944,37%,1118,,25.19%,1.07%,2.09%,2826,72%,111,886,579,1472,22%,1143,10.39,0%,1100,1100,3108,10428,2629,39,5,2584,17265,9291,11000,1708,2353,0,5621,35,258,665,1429,3234,17265,539254,,0,
Mar 2019,7305,85%,4543,,46.55%,8.03%,7.60%,2762,38%,351,1391,882,840,33%,559,5.08,0%,1100,1100,3535,20137,7787,1237,74,6475,32558,24412,27001,2589,694,336,7117,366,722,702,2642,2684,32558,539254,,0,
Mar 2020,11416,56%,7162,,44.31%,8.53%,9.91%,4254,37%,265,2238,1174,1107,36%,742,6.74,0%,1100,1100,4120,24246,10246,1752,87,7345,39711,24924,28685,3761,2212,313,12262,541,1000,2297,5495,2929,39711,539254,,1062,
TTM,10567,,6305,,,,,4262,40%,707,2381,1289,1299,,888,8.08,,,,,,,,,,,,,,,,,,,,,,,539254,,,
Sep 2020,,,,,,,,,,,,,,,,,,1100,1100,7286,23983,7390,1430,,4925,39759,24505,,,3481,414,11358,219,1388,1437,4090,4224,39759,539254,,1034,
Mar 2009,3349,14.57%,3284,73%,9%,4%,12%,65,2%,284,151,47,151,35%,111,3.48,36%,32,31.98,1376,1573,1197,303,446,329,4178,974,1393,418,25,653,2526,743,875,125,791,-9,4178,500164,,118,
Mar 2010,3408,1.77%,3369,73%,11%,5%,10%,39,1%,374,150,50,213,21%,203,,23%,32,31.76,1734,1481,1129,382,37,395,4376,958,1406,448,39,927,2452,1036,423,148,861,-16,4376,500164,,315,
Mar 2011,4293,25.96%,4080,70%,13%,5%,7%,213,5%,252,88,55,323,23%,293,,19%,32,31.76,1899,1756,1722,666,39,621,5408,1126,1621,494,30,789,3463,1404,298,269,1187,306,5408,500164,,396,
Mar 2012,5543,29.10%,5277,71%,13%,5%,7%,266,5%,192,111,56,290,33%,292,,19%,32,31.76,2335,2865,3127,1638,88,778,8359,1193,1745,551,214,1153,5799,3191,433,473,1529,172,8359,500164,,622,
Mar 2013,6866,23.88%,6507,71%,14%,4%,6%,359,5%,237,110,59,426,32%,391,11.66,15%,34,33.52,3072,2829,3490,1186,525,1022,9424,1170,1742,572,628,1362,6264,3717,476,578,1182,312,9424,500164,,757,
Mar 2014,7799,13.58%,7344,70%,14%,4%,6%,455,6%,201,119,70,467,37%,326,9.72,18%,33,33.12,2701,4167,4307,1250,692,1313,11208,1650,2200,550,466,2336,6757,4354,543,306,1314,239,11208,500164,,1052,
Mar 2015,9101,16.71%,8616,66%,19%,4%,6%,485,5%,318,192,93,519,26%,402,11.98,15%,34,33.59,3194,5885,4392,1124,832,1288,13504,1837,2472,635,775,2691,8202,5355,634,242,1730,241,13504,500164,,1149,
Mar 2016,7454,-18.10%,7063,55%,27%,5%,8%,391,5%,256,343,117,187,58%,161,4.78,37%,34,33.60,3049,7200,3850,1120,627,822,14133,2828,2947,119,274,3052,7979,4879,856,201,1982,61,14133,500164,,1281,
Mar 2017,8365,12.23%,7724,62%,17%,6%,8%,641,8%,535,402,148,626,27%,256,7.63,23%,34,33.61,3167,7554,4237,1163,450,1149,14991,3281,3546,264,54,3203,8452,5020,906,235,2280,11,14991,500164,,1475,
Mar 2018,9076,8.49%,8814,65%,17%,6%,9%,262,3%,924,413,175,597,19%,338,10.05,17%,34,33.63,3301,6918,6500,1049,2653,1441,16753,3302,3742,440,271,4137,9042,4819,1002,504,2726,-8,16753,500164,,1357,
Mar 2019,10848,19.53%,10234,71%,10%,5%,8%,615,6%,1142,508,163,1086,20%,590,17.53,7%,34,33.64,4313,7116,6530,914,1525,1879,17993,3824,4394,571,202,5473,8494,3410,1160,945,3013,-34,17993,500164,,2212,
Mar 2020,11291,4.08%,10489,60%,18%,6%,8%,801,7%,1006,493,234,1081,25%,552,16.41,0%,34,33.65,5753,7275,7161,1300,366,1935,20223,4049,4886,837,334,6594,9245,3187,1552,978,3531,-4,20223,500164,,3561,
TTM,10183,,9577,,,,,607,6%,928,471,238,826,,357,10.61,,,,,,,,,,,,,,,,,,,,,,,500164,,,
Sep 2020,,,,,,,,,,,,,,,,,,34,33.65,6035,8116,8775,3437,,1732,22960,4216,,,310,6483,11950,5135,1499,622,2496,2197,22960,500164,,3606,
Mar 2012,33.18,,22.69,0%,6%,23%,39%,10.49,31.62%,0.00,1.11,0.93,8.45,34.08%,4.44,3.59,0.00%,12.38,12.38,34.10,5.83,39.90,29.10,,7.23,92.21,5.76,5.76,0.00,0.00,0.00,86.45,,33,46,0,7,92.21,NSE : STEELCITY,,3.57,
Mar 2013,31.35,-5.52%,21.58,0%,7%,25%,37%,9.77,31.16%,0.00,1.08,0.87,7.82,33.12%,4.54,3.67,0.00%,12.38,12.38,38.69,13.20,35.03,24.10,,6.72,99.30,5.70,5.70,0.00,0.00,0.60,93.00,,43,42,0,8,99.30,NSE : STEELCITY,,4.21,
Mar 2014,26.94,-14.07%,19.37,0%,8%,28%,36%,7.57,28.10%,0.00,0.97,0.88,5.72,32.87%,3.55,2.87,0.00%,12.38,12.38,40.84,3.47,32.19,22.04,,5.94,88.88,5.50,5.50,0.00,0.00,0.60,82.78,,39,37,0,7,88.88,NSE : STEELCITY,,4.21,
Mar 2015,34.80,29.18%,21.67,0%,7%,22%,33%,13.13,37.73%,0.00,1.43,0.99,10.71,34.73%,6.83,5.52,0.00%,12.38,12.38,42.86,17.67,29.36,15.72,,9.86,102.27,4.26,4.26,0.00,0.00,1.60,96.41,,49,38,0,10,102.27,NSE : STEELCITY,,3.78,
Mar 2016,30.25,-13.07%,21.80,3%,5%,28%,37%,8.45,27.93%,0.08,1.37,0.68,6.48,33.95%,4.17,3.37,35.63%,12.38,12.38,45.42,4.81,30.93,20.35,,7.05,93.54,4.50,7.16,2.66,0.00,2.68,86.36,,46,31,0,9,93.54,NSE : STEELCITY,,3.53,
Mar 2017,38.34,26.74%,29.23,3%,5%,23%,45%,9.11,23.76%,0.02,0.95,0.64,7.54,33.16%,5.02,3.32,60.20%,15.11,15.11,57.40,0.04,44.25,26.55,,15.44,116.80,6.70,9.05,2.35,0.00,3.75,106.35,,54,39,2,11,116.80,NSE : STEELCITY,,2.26,
Mar 2018,66.14,72.51%,47.03,2%,3%,15%,52%,19.11,28.89%,0.00,2.16,0.90,16.05,29.66%,11.37,7.53,33.22%,15.11,15.11,64.23,0.03,61.76,29.12,,30.35,141.13,7.12,9.84,2.72,0.00,4.98,129.03,,53,50,7,19,141.13,NSE : STEELCITY,,2.29,
Mar 2019,63.89,-3.40%,48.52,1%,3%,16%,56%,15.37,24.06%,0.00,1.21,0.96,13.20,33.64%,9.00,5.96,41.97%,15.11,15.11,70.81,0.12,58.96,29.59,,29.37,145.00,8.86,11.80,2.95,0.00,6.51,129.63,,48,57,12,12,145.00,NSE : STEELCITY,,0.00,
Mar 2020,48.52,-24.06%,40.06,0%,0%,22%,61%,8.46,17.44%,2.97,0.52,0.88,10.03,25.62%,7.11,4.71,0.00%,15.11,15.11,72.88,0.07,59.11,38.59,,20.52,147.17,9.30,,,0.34,5.62,131.91,,42,58,24,8,147.17,NSE : STEELCITY,,0.00,
TTM,47.85,,37.66,,,,,10.19,21.30%,3.01,0.57,0.78,11.85,,9.05,5.99,,,,,,,,,,,,,,,,,,,,,,,NSE : STEELCITY,,,
Sep 2020,,,,,,,,,,,,,,,,,,15.11,15.11,77.76,8.25,62.21,37.06,,25.15,163.33,9.27,,,0.96,6.01,147.09,,57,48,34,8,163.33,NSE : STEELCITY,,0.00,
Mar 2009,291,4.04%,272,59.81%,1.12%,19.06%,13.54%,19,6%,3,6,6,10,28%,7,,33%,23,22.51,84,34,67,36,7,23,207,32,47,15,1,0,,,,,,,207,532774,,0,173
Mar 2010,265,-8.91%,254,67.32%,1.00%,17.58%,9.88%,11,4%,6,4,6,7,21%,6,,57%,23,22.51,86,44,71,45,5,20,224,31,49,19,0,0,,,,,,,224,532774,,0,193
Mar 2011,403,52.09%,374,63.25%,10.19%,11.54%,7.78%,29,7%,-7,7,3,13,20%,10,,44%,23,22.51,93,32,147,105,12,29,294,26,58,31,0,0,,,,,,,294,532774,,0,268
Mar 2012,484,19.94%,452,52.14%,14.01%,15.75%,11.60%,31,6%,2,18,10,6,35%,4,,97%,24,24.26,73,101,145,107,2,36,343,57,99,42,2,0,,,,,,,343,532774,,0,284
Mar 2013,398,-17.74%,368,41.61%,16.08%,21.72%,13.13%,30,7%,4,20,11,3,55%,1,0.49,0%,24,24.26,75,108,151,106,0,41,358,60,99,39,1,0,,,,,,,358,532774,,4,298
Mar 2014,421,5.90%,386,42.46%,14.65%,22.31%,12.16%,36,8%,7,26,11,5,13%,3,1.13,0%,30,29.76,93,156,99,59,0,34,377,62,109,47,0,0,,,,,,,377,532774,,6,315
Mar 2015,486,15.32%,437,34.15%,20.33%,24.04%,11.35%,49,10%,-14,23,12,1,-208%,-1,-0.32,0%,30,29.76,91,198,136,66,0,61,455,66,128,62,1,0,,,,,,,455,532774,,9,388
Mar 2016,511,5.18%,524,41.23%,13.83%,27.19%,20.22%,-13,-2%,-87,21,13,-133,-3%,-145,-48.73,0%,30,29.76,-52,213,175,65,0,92,365,46,126,80,0,0,,,,,,,365,532774,,18,319
Mar 2017,589,15.20%,561,43.11%,12.80%,28.37%,10.92%,28,5%,1,25,15,-10,-36%,-24,-8.18,0%,30,29.76,-78,257,195,68,0,100,404,39,52,13,0,0,,,,,,,404,532774,,27,365
Mar 2018,484,-17.72%,487,45.16%,13.65%,28.93%,12.73%,-2,-0%,42,19,7,14,15%,10,3.31,0%,30,29.76,-67,182,142,64,0,78,287,25,46,21,0,0,,,,,,,287,532774,,0,262
Mar 2019,546,12.80%,527,49.40%,13.63%,24.48%,8.89%,20,4%,7,18,5,4,83%,1,0.20,0%,34,33.99,-46,178,209,109,0,99,375,18,47,29,1,0,,,,,,,375,532774,,0,356
Mar 2020,458,-16.09%,441,34.07%,25.42%,27.49%,9.15%,18,4%,10,14,8,6,56%,2,0.61,0%,40,39.62,-22,142,152,57,0,95,311,22,59,37,2,0,,,,,,,311,532774,,0,287
TTM,378,,371,,,,,7,2%,10,13,7,-4,,-5,-1.26,,,,,,,,,,,,,,,,,,,,,,,532774,,,
Sep 2020,,,,,,,,,,,,,,,,,,40,39.62,-28,41,245,64,,181,298,23,,,0,0,,,,,,,298,532774,,0,275
Mar 2011,395,,345,50%,30%,5%,3%,51,13%,4,2,2,50,34%,33,1.69,12%,20,19.55,119,36,79,46.93,,31.94,253,31,68,37,-0,19,204,53.12,25.76,40.86,74.57,9.38,253,532656,,0.00,
Mar 2012,379,-4.23%,360,55%,29%,6%,5%,18,5%,3,8,4,9,37%,6,0.29,-0%,20,19.55,124,33,65,34.64,,30.48,242,43,84,40,-0,39,160,27.53,29.95,66.50,15.34,20.76,242,532656,,0.00,
Mar 2013,228,-39.68%,224,45%,37%,10%,6%,4,2%,2,3,4,-1,-98%,-3,-0.14,-0%,20,19.55,122,100,51,10.12,,40.00,292,95,138,44,-0,38,158,37.07,32.52,35.14,30.60,22.97,292,532656,,0.40,
Mar 2014,246,7.53%,264,49%,43%,10%,5%,-18,-7%,4,5,10,-29,2%,-28,-1.42,-0%,20,19.55,106,69,57,17.47,,34.91,252,105,158,53,3,38,106,18.53,3.87,17.53,41.34,24.55,252,532656,,4.77,
Mar 2015,4,-98.38%,39,2%,647%,303%,39%,-35,-891%,15,7,10,-37,33%,-23,-1.16,-0%,20,19.55,91,82,50,6.95,,42.89,243,114,177,63,8,38,82,14.74,3.29,12.32,34.27,17.29,243,532656,,0.00,
Mar 2016,2,-53.52%,22,3%,399%,705%,65%,-20,-1073%,9,11,11,-33,26%,-23,-1.19,-0%,20,19.55,71,96,41,7.11,,34.07,227,107,179,72,11,38,71,13.88,2.86,1.05,42.59,10.40,227,532656,,0.00,
Mar 2017,133,7077.84%,118,45%,29%,10%,5%,15,11%,4,17,3,-2,25%,-0,-0.01,-0%,20,19.55,104,103,61,21.07,,46.13,287,183,186,3,-0,18,86,18.24,13.79,9.76,39.88,3.86,287,532656,,-6.49,
Mar 2018,312,134.58%,300,34%,52%,7%,4%,11,4%,7,18,3,-3,112%,1,0.08,-0%,20,19.55,107,74,73,24.67,,57.56,273,179,185,6,-0,8,86,21.53,18.42,1.59,35.96,8.49,273,532656,,-9.29,
Mar 2019,361,15.90%,333,32%,51%,6%,3%,28,8%,7,14,2,19,20%,15,0.78,-0%,20,19.55,116,55,84,21.17,,74.12,274,158,165,7,-0,0,116,14.47,11.95,14.15,52.17,23.52,274,532656,,-11.38,
Mar 2020,291,-19.29%,298,40%,53%,6%,3%,-6,-2%,37,4,3,24,51%,12,0.59,-0%,20,19.55,138,18,73,28.79,,50.81,248,166,177,10,-0,0,81,6.04,10.59,0.86,37.29,26.57,248,532656,,-7.06,
TTM,164,,183,,,,,-19,-11%,22,4,2,-4,,-2,-0.09,,,,,,,,,,,,,,,,,,,,,,,532656,,,
Sep 2020,,,,,,,,,,,,,,,,,,20,19.55,136,18,46,14.70,,38.48,220,159,,,-0,0,61,2.42,4.07,1.59,21.95,31.01,220,532656,,-7.03,
Mar 2009,104,28.10%,91,52%,11%,6%,18%,13,13%,0,6,4,4,44%,2,0.26,36%,6,5.80,23,28,37,28,0,9,93,32,52,20,3,0,58,29,22,2,5,-1,93,532834,,0,
Mar 2010,140,34.74%,128,63%,11%,6%,11%,13,9%,2,7,5,3,68%,1,0.13,96%,6,5.81,23,47,44,35,0,9,120,38,63,24,2,0,80,26,42,4,8,-1,120,532834,,0,
Mar 2011,172,22.38%,156,66%,10%,6%,8%,16,9%,8,9,6,9,19%,7,0.76,26%,9,9.31,37,68,70,60,0,10,184,69,212,143,3,1,111,33,50,13,14,1,184,532834,,0,
Mar 2012,335,95.29%,306,50%,20%,7%,14%,29,9%,12,17,14,11,64%,4,0.40,62%,9,9.36,44,125,108,87,0,21,286,74,226,152,2,1,208,84,90,10,23,1,286,532834,,0,
Mar 2013,374,11.45%,327,44%,21%,8%,14%,47,13%,10,20,14,24,36%,15,1.61,19%,9,9.39,56,126,178,157,1,20,369,83,251,168,1,1,284,149,87,26,23,-0,369,532834,,0,
Mar 2014,509,36.15%,446,54%,15%,7%,12%,63,12%,9,25,12,35,18%,29,3.04,12%,9,9.44,84,150,126,100,0,26,369,83,283,200,22,1,262,109,101,16,39,-3,369,532834,,0,
Mar 2015,558,9.75%,474,48%,16%,7%,13%,84,15%,9,24,16,53,-4%,55,5.74,8%,10,9.59,125,160,131,107,0,25,426,106,295,189,3,1,316,136,113,19,48,-2,426,532834,,0,
Mar 2016,489,-12.35%,397,42%,17%,8%,15%,92,19%,-1,24,17,50,28%,36,3.71,12%,10,9.67,167,180,123,95,0,28,479,140,360,219,25,1,313,173,75,19,49,-4,479,532834,,0,
Mar 2017,534,9.11%,502,49%,14%,12%,19%,32,6%,14,31,22,-6,26%,-11,-1.08,0%,10,10.37,202,331,126,78,0,30,669,201,214,13,8,19,442,198,145,31,62,6,669,532834,,18,
Mar 2018,721,34.96%,705,59%,13%,10%,16%,16,2%,12,32,27,-31,22%,-30,-2.44,0%,12,12.12,359,373,273,178,0,33,1016,278,342,64,14,115,609,239,205,48,105,12,1016,532834,,62,
Mar 2019,892,23.81%,819,53%,15%,10%,14%,73,8%,14,41,29,17,82%,1,0.05,0%,12,12.13,338,461,276,165,1,51,1087,272,359,87,59,11,745,285,209,103,122,24,1087,532834,,59,
Mar 2020,1049,17.60%,914,51%,13%,10%,14%,135,13%,3,48,33,58,49%,30,2.50,0%,12,12.13,391,539,290,174,0,60,1232,306,430,124,179,7,740,298,253,65,100,24,1232,532834,,57,
TTM,1129,,981,,,,,149,13%,5,41,37,76,,29,2.41,,,,,,,,,,,,,,,,,,,,,,,532834,,,
Sep 2020,,,,,,,,,,,,,,,,,,12,12.13,477,501,316,142,,108,1306,477,,,12,7,810,317,212,154,14,113,1306,532834,,65,
Mar 2013,237,,64,,0.59%,4.22%,22.29%,173,73%,-0,65,3,105,32%,71,17.43,6%,43,40.57,401,387,459,0,,459,1287,3,16,13,0,73,1212,1034,0,60,98,20,1287,532900,2.50,,
Mar 2014,218,-7.92%,68,,0.56%,5.06%,25.38%,150,69%,0,62,4,84,33%,56,13.79,7%,43,40.57,452,432,192,0,,192,1116,3,17,14,0,52,1061,964,0,9,63,25,1116,532900,2.50,,
Mar 2015,190,-12.82%,59,,0.32%,6.69%,24.03%,131,69%,0,58,6,67,34%,44,10.88,9%,43,40.57,489,410,183,0,,183,1122,3,9,6,0,32,1087,1011,0,15,26,35,1122,532900,2.50,,
Mar 2016,204,7.54%,61,,0.44%,7.27%,22.24%,143,70%,-1,67,5,70,35%,45,11.16,9%,41,40.57,479,569,277,0,,277,1366,3,9,6,0,27,1336,1107,0,28,169,32,1366,532900,0.00,,
